,COMBINED FIRST AND SECOND ROUND OPENING AND CLOSING RANK OF DCECE[PM]-2025,,,,,,,,Page No:- 1 / 65,


INSTITUTE,,BRANCH,CATEGORY,UR OPENING RANK,UR CLOSING RANK,CAT OPENING RANK,,CAT CLOSING RANK,,
"A.H.S. Nursing College, AHS building, Jail Chouk Tajpur
Road, Samastipur",,A.N.M.,UR,8180,83964,,,,,
"A.H.S. Nursing College, AHS building, Jail Chouk Tajpur
Road, Samastipur",,G.N.M.,UR,11549,88507,,,,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,UR,3184,10399,,,,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,ST,,,121,,121,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,SC,,,803,,2419,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,RCG,,,5299,,5410,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,EWS,,,539,,824,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,EBC,,,2572,,4128,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,DQ,,,52,,136,,
"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",,A.N.M.,BC,,,3152,,4324,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,UR,2435,11359,,,,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,ST,,,89,,182,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,SC,,,830,,2328,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,RCG,,,5504,,7840,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,EWS,,,589,,1384,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,EBC,,,2647,,4790,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,DQ,,,76,,142,,
"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",,A.N.M.,BC,,,3072,,4884,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,UR,1742,7217,,,,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,ST,,,96,,96,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,SC,,,643,,1653,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,RCG,,,3324,,3324,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,EWS,,,873,,1401,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,EBC,,,1747,,3285,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,DQ,,,153,,182,,
"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",,A.N.M.,BC,,,2162,,3049,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,UR,3457,11180,,,,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,ST,,,55,,61,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,SC,,,1548,,2762,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,RCG,,,6050,,8210,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,EWS,,,629,,1729,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,EBC,,,2835,,4921,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,DQ,,,120,,120,,
"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",,A.N.M.,BC,,,3613,,5088,,
"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",,A.N.M.,UR,2665,10939,,,,,
"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",,A.N.M.,ST,,,90,,169,,
"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",,A.N.M.,SC,,,1083,,2350,,
"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",,A.N.M.,RCG,,,6141,,7733,,
