year,institute,branch,category,opening_rank,closing_rank
2025,"A.H.S. Nursing College, AHS building, Jail Chouk Tajpur Road, Samastipur",G.N.M.,UR,11549,88507
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,UR,3184,10399
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,ST,,121
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,SC,,2419
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,RCG,,5410
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,EWS,,824
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,EBC,,4128
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,DQ,,136
2025,"A.N.M. SCHOOL MANJHAUL, BEGUSARAI",A.N.M.,BC,,4324
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,UR,2435,11359
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,ST,,182
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,SC,,2328
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,RCG,,7840
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,EWS,,1384
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,EBC,,4790
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,DQ,,142
2025,"A.N.M. SCHOOL, ARERAJ, E. CHAMPARAN",A.N.M.,BC,,4884
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,UR,1742,7217
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,ST,,96
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,SC,,1653
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,RCG,,3324
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,EWS,,1401
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,EBC,,3285
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,DQ,,182
2025,"A.N.M. SCHOOL, ARWAL SADAR, ARWAL",A.N.M.,BC,,3049
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,UR,3457,11180
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,ST,,61
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,SC,,2762
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,RCG,,8210
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,EWS,,1729
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,EBC,,4921
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,DQ,,120
2025,"A.N.M. SCHOOL, BAGHA, W. CHAMPARAN",A.N.M.,BC,,5088
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,UR,2665,10939
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,ST,,169
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,SC,,2350
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,RCG,,7733
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,EWS,,1732
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,EBC,,4616
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,DQ,,167
2025,"A.N.M. SCHOOL, BAIKUNTHPUR, GOPALGANJ",A.N.M.,BC,,4807
2025,"A.N.M. SCHOOL, BAISI, PURNEA",A.N.M.,UR,4695,11272
2025,"A.N.M. SCHOOL, BAISI, PURNEA",A.N.M.,SC,,2755
2025,"A.N.M. SCHOOL, BAISI, PURNEA",A.N.M.,RCG,,6644
2025,"A.N.M. SCHOOL, BAISI, PURNEA",A.N.M.,EWS,,1806
2025,"A.N.M. SCHOOL, BAISI, PURNEA",A.N.M.,EBC,,4740
2025,"A.N.M. SCHOOL, BAISI, PURNEA",A.N.M.,BC,,5037
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,UR,1865,10717
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,ST,,150
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,SC,,2357
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,RCG,,5701
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,EWS,,1072
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,EBC,,4484
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,DQ,,158
2025,"A.N.M. SCHOOL, BAKHARI, BEGUSARAI",A.N.M.,BC,,4549
2025,"A.N.M. SCHOOL, BALIA, BEGUSARAI",A.N.M.,UR,3323,11165
2025,"A.N.M. SCHOOL, BALIA, BEGUSARAI",A.N.M.,SC,,2463
2025,"A.N.M. SCHOOL, BALIA, BEGUSARAI",A.N.M.,RCG,,5689
2025,"A.N.M. SCHOOL, BALIA, BEGUSARAI",A.N.M.,EWS,,1055
2025,"A.N.M. SCHOOL, BALIA, BEGUSARAI",A.N.M.,EBC,,4589
2025,"A.N.M. SCHOOL, BALIA, BEGUSARAI",A.N.M.,DQ,,168
2025,"A.N.M. SCHOOL, BALIA, BEGUSARAI",A.N.M.,BC,,4633
2025,"A.N.M. SCHOOL, BARH",A.N.M.,UR,1795,8670
2025,"A.N.M. SCHOOL, BARH",A.N.M.,ST,,116
2025,"A.N.M. SCHOOL, BARH",A.N.M.,SC,,1464
2025,"A.N.M. SCHOOL, BARH",A.N.M.,RCG,,5967
2025,"A.N.M. SCHOOL, BARH",A.N.M.,EWS,,734
2025,"A.N.M. SCHOOL, BARH",A.N.M.,EBC,,3483
2025,"A.N.M. SCHOOL, BARH",A.N.M.,DQ,,88
2025,"A.N.M. SCHOOL, BARH",A.N.M.,BC,,3788
2025,"A.N.M. SCHOOL, BARSHOI, KATIHAR",A.N.M.,UR,2968,9996
2025,"A.N.M. SCHOOL, BARSHOI, KATIHAR",A.N.M.,SC,,2531
2025,"A.N.M. SCHOOL, BARSHOI, KATIHAR",A.N.M.,RCG,,5272
2025,"A.N.M. SCHOOL, BARSHOI, KATIHAR",A.N.M.,EWS,,1485
2025,"A.N.M. SCHOOL, BARSHOI, KATIHAR",A.N.M.,EBC,,4266
2025,"A.N.M. SCHOOL, BARSHOI, KATIHAR",A.N.M.,BC,,4665
2025,"A.N.M. SCHOOL, BEGUSARAI",A.N.M.,UR,523,7398
2025,"A.N.M. SCHOOL, BEGUSARAI",A.N.M.,SC,,2017
2025,"A.N.M. SCHOOL, BEGUSARAI",A.N.M.,RCG,,5490
2025,"A.N.M. SCHOOL, BEGUSARAI",A.N.M.,EWS,,635
2025,"A.N.M. SCHOOL, BEGUSARAI",A.N.M.,EBC,,3196
2025,"A.N.M. SCHOOL, BEGUSARAI",A.N.M.,DQ,,50
2025,"A.N.M. SCHOOL, BEGUSARAI",A.N.M.,BC,,3464
